com/intellij/mcpserver/util/Psi_utilKt	mcpserver.jar
com/intellij/codeInsight/hints/VcsCodeVisionLanguageContext	intellij.platform.vcs.jar
com/intellij/lang/javascript/refactoring/util/JSRefactoringUtil	javascript-plugin.jar
com/intellij/lang/javascript/refactoring/rename/JSInplaceRenameHandler	javascript-plugin.jar
com/intellij/lang/javascript/findUsages/JSComponentCustomUsageSearcherKt	javascript-plugin.jar
com/intellij/lang/javascript/service/JSLanguageServiceUtilKt	javascript-plugin.jar
com/intellij/lang/javascript/highlighting/JSLineMarkerUtil	javascript-plugin.jar
com/intellij/lang/javascript/highlighting/JSBasicGutterIconNavigationHandler	javascript-plugin.jar
com/intellij/lang/javascript/highlighting/JSSpellcheckingStrategy	javascript-plugin.jar
com/intellij/lang/typescript/refactoring/TypeScriptMemberInplaceRenameHandler$1	javascript-plugin.jar
com/intellij/lang/typescript/refactoring/TypeScriptMemberInplaceRenameHandler	javascript-plugin.jar
com/intellij/lang/ecmascript6/findUsages/ES6DefaultExportReferenceSearcher$FileReferenceProcessor	javascript-plugin.jar
com/intellij/lang/ecmascript6/findUsages/ES6DefaultExportReferenceSearcher$JSLocalSearchResultsProcessor	javascript-plugin.jar
com/intellij/lang/ecmascript6/findUsages/ES6DefaultExportReferenceSearcher	javascript-plugin.jar
com/intellij/dev/psiViewer/PsiViewerDialog	dev.jar
com/jetbrains/lang/makefile/psi/MakefileNamedElement	makefile.jar
com/intellij/spellchecker/quickfixes/RenameTo	intellij.spellchecker.jar
com/intellij/spellchecker/tokenizer/SpellcheckingStrategy	intellij.spellchecker.jar
com/intellij/spellchecker/tokenizer/PsiIdentifierOwnerTokenizer	intellij.spellchecker.jar
com/intellij/sh/psi/ShLiteral	sh-plugin.jar
com/intellij/sh/psi/ShAssignmentCommand	sh-plugin.jar
com/intellij/sh/psi/ShAssignmentExpression	sh-plugin.jar
com/intellij/sh/psi/ShFunctionDefinition	sh-plugin.jar
com/intellij/psi/css/CssCustomPropertyAtRule	intellij.css.jar
com/intellij/psi/css/CssCustomMixin	intellij.css.jar
com/intellij/psi/css/CssValueImportedAlias	intellij.css.jar
com/intellij/psi/css/CssValueDeclaration	intellij.css.jar
com/intellij/psi/css/CssPageRule	intellij.css.jar
com/intellij/psi/css/CssKeyframesRule	intellij.css.jar
org/jetbrains/yaml/psi/YAMLAnchor	yaml.jar
com/intellij/sql/dialects/mysql/psi/MysqlVariableReferenceExpression	intellij.database.dialects.mysqlbase.jar
com/intellij/sh/backend/spellchecker/ShIdentifierOwnerTokenizer	intellij.sh.backend.jar
com/intellij/sh/backend/spellchecker/ShSpellcheckingStrategy	intellij.sh.backend.jar
com/intellij/model/psi/impl/PsiElement2Declaration	intellij.platform.lang.impl.jar
com/intellij/refactoring/rename/inplace/MemberInplaceRenameHandler$1	intellij.platform.lang.impl.jar
com/intellij/refactoring/rename/inplace/MemberInplaceRenameHandler	intellij.platform.lang.impl.jar
com/intellij/refactoring/rename/inplace/InplaceRefactoring	intellij.platform.lang.impl.jar
com/intellij/refactoring/rename/inplace/MemberInplaceRenamer	intellij.platform.lang.impl.jar
com/intellij/refactoring/rename/inplace/VariableInplaceRenamer	intellij.platform.lang.impl.jar
com/intellij/refactoring/actions/ChangeSignatureAction	intellij.platform.lang.impl.jar
com/intellij/refactoring/introduce/inplace/AbstractInplaceIntroducer$1	intellij.platform.lang.impl.jar
com/intellij/refactoring/introduce/inplace/AbstractInplaceIntroducer	intellij.platform.lang.impl.jar
com/intellij/refactoring/changeSignature/inplace/RenameChangeInfo	intellij.platform.lang.impl.jar
com/intellij/refactoring/inline/InlineOptionsDialog	intellij.platform.lang.impl.jar
com/intellij/refactoring/safeDelete/SafeDeleteProcessor	intellij.platform.lang.impl.jar
com/intellij/openapi/editor/actions/NamedElementDuplicateHandler	intellij.platform.lang.impl.jar
com/intellij/codeInspection/naming/NamingConvention	intellij.platform.lang.impl.jar
com/intellij/codeInspection/naming/AbstractNamingConventionMerger	intellij.platform.lang.impl.jar
com/intellij/codeInspection/naming/AbstractNamingConventionInspection	intellij.platform.lang.impl.jar
com/intellij/codeInspection/NonAsciiCharactersInspection	intellij.platform.lang.impl.jar
com/intellij/codeInsight/completion/command/commands/AbstractRenameActionCommandProvider	intellij.platform.lang.impl.jar
com/intellij/codeInsight/completion/command/commands/ActionCommandProvider	intellij.platform.lang.impl.jar
com/intellij/codeInsight/completion/command/commands/ViewStructureCompletionCommandProvider$createCommand$1	intellij.platform.lang.impl.jar
com/intellij/codeInsight/completion/command/commands/AbstractCopyFQNCompletionCommandProvider	intellij.platform.lang.impl.jar
com/intellij/ide/actions/CreateFromTemplateAction	intellij.platform.lang.impl.jar
com/intellij/lang/impl/modcommand/ModCommandExecutorImpl	intellij.platform.lang.impl.jar
com/intellij/sql/completion/SqlCompletionUtil	intellij.database.sql.core.impl.jar
com/sixrr/inspectjs/naming/ConventionInspection	intellij.javascript.codeinsight.jar
com/sixrr/inspectjs/naming/JSClassNamingConventionInspection$Visitor	intellij.javascript.codeinsight.jar
com/sixrr/inspectjs/naming/FunctionNamingConventionJSInspection$Visitor	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/refactoring/extractMethod/JSFunctionInplaceIntroducer	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/refactoring/introduceVariable/JSIntroduceConstantHandler	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/refactoring/introduceVariable/ES6IntroduceSpreadVariableHandler	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/refactoring/introduceVariable/JSVariableInplaceIntroducer	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/refactoring/introduceVariable/JSVariableInplaceIntroducerBase	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/refactoring/introduceParameter/JSParameterInplaceIntroducer	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/refactoring/introduceField/JSFieldInplaceIntroducer	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/refactoring/introduce/JSBaseInplaceIntroducer	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/intentions/JSCreateSubclassIntention	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/intentions/destructuring/JSDestructuringToReferencesAndIndexersIntention	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/hints/JSInheritorsCodeVisionProvider	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/inspections/JSNonASCIINamesInspection$1	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/inspections/JSClosureCompilerSyntaxInspection	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/inspections/ES6ShorthandObjectPropertyInspection$1	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/inspections/JSDuplicatedDeclarationInspection	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/validation/JSConstructorChecker	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/validation/JSAnnotatingVisitor	intellij.javascript.codeinsight.jar
com/intellij/lang/javascript/ecmascript6/TypeScriptAnnotatingVisitor	intellij.javascript.codeinsight.jar
com/intellij/codeInsight/daemon/RelatedItemLineMarkerProvider	intellij.platform.lang.jar
com/intellij/sql/psi/SqlDefinition	intellij.database.sql.jar
com/intellij/completion/ml/VcsFeatureProvider	completionMlRanking.jar
com/intellij/completion/ml/common/RecentPlacesFeatures$StoreRecentPlacesListener	completionMlRanking.jar
com/intellij/lang/javascript/syntaxSelection/TypeScriptTypeParameterListSelectioner	javascript-plugin-frontend.jar
com/intellij/lang/javascript/flow/psi/impl/FlowJSFunctionImpl	javascript-plugin-frontend.jar
com/intellij/lang/javascript/flow/psi/impl/FlowJSFunctionExpressionImpl	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/ecmal4/JSAttributeNameValuePair	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/ecmal4/JSAttribute	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/JSNamedElement	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/impl/JSPsiImplUtils	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/impl/JSDestructuringPropertyBase	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/impl/JSFunctionBaseImpl	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/ecma6/impl/TypeScriptFieldImpl	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/ecma6/impl/TypeScriptFunctionImpl	javascript-plugin-frontend.jar
com/intellij/lang/javascript/psi/ecma6/impl/ES6FieldImpl	javascript-plugin-frontend.jar
com/intellij/lang/typescript/formatter/blocks/TypedJSSubBlockVisitor	javascript-plugin-frontend.jar
com/intellij/lang/ecmascript6/psi/impl/ES6DecoratorDeclarationImpl	javascript-plugin-frontend.jar
com/intellij/psi/xml/XmlElementDecl	intellij.xml.psi.jar
com/intellij/codeInspection/RedundantSuppressInspectionBase	intellij.platform.analysis.impl.jar
com/intellij/codeInsight/daemon/impl/IdentifierUtil	intellij.platform.analysis.impl.jar
com/intellij/lang/impl/modcommand/PsiUpdateImpl$ModPsiUpdaterImpl	intellij.platform.analysis.impl.jar
com/intellij/editorconfig/common/syntax/psi/EditorConfigIdentifierElement	intellij.editorconfig.common.jar
com/intellij/sql/refactoring/SqlCteInplaceIntroducer	intellij.database.sql.impl.jar
com/intellij/sql/refactoring/rename/inplace/SqlInplaceRenameHandler	intellij.database.sql.impl.jar
com/intellij/sql/refactoring/rename/inplace/SqlInplaceRenameHandler$MyMemberInplaceRenamer	intellij.database.sql.impl.jar
com/intellij/sql/SqlSpellcheckingStrategy$MyDefinitionTokenizer	intellij.database.sql.impl.jar
com/intellij/sql/SqlSpellcheckingStrategy	intellij.database.sql.impl.jar
org/intellij/lang/regexp/psi/RegExpGroup	intellij.regexp.jar
training/learn/lesson/general/navigation/SearchEverywhereLesson	featuresTrainer.jar
org/intellij/terraform/hcl/refactoring/HCLElementRenameValidator	terraform.jar
org/intellij/terraform/hcl/spellchecker/HCLSpellcheckerStrategy	terraform.jar
org/intellij/terraform/hcl/psi/impl/ElementChangeUtil	terraform.jar
org/intellij/terraform/hcl/psi/impl/HCLBlockMixin	terraform.jar
org/intellij/terraform/hcl/psi/impl/HCLPropertyMixin	terraform.jar
org/intellij/terraform/hcl/psi/HCLBlock	terraform.jar
org/intellij/terraform/hcl/psi/HCLProperty	terraform.jar
org/intellij/terraform/hil/psi/impl/ILPropertyMixin	terraform.jar
org/intellij/terraform/hil/psi/ILProperty	terraform.jar
org/intellij/terraform/config/inspection/RenameBlockQuickFix	terraform.jar
org/intellij/terraform/config/inspection/TfBlockNameValidnessInspection$RenameBlockFix	terraform.jar
org/jetbrains/qodana/jvm/coverage/JvmCoverageInspection$JVMDefVisitor	qodana.jar
org/jetbrains/qodana/js/JsCoverageInspection	qodana.jar
org/jetbrains/qodana/staticAnalysis/inspections/coverage/CoverageInspectionBase	qodana.jar
com/intellij/psi/PsiNameIdentifierOwner	intellij.platform.core.jar
com/intellij/modcommand/ModPsiUpdater	intellij.platform.analysis.jar
com/intellij/httpClient/http/request/psi/HttpRequestNamedElement	restClient.jar
com/goide/template/psi/GoTemplateNamedElement	go-template.jar
com/intellij/polySymbols/search/PolySymbolUsageQueries	intellij.platform.polySymbols.backend.jar
com/intellij/protobuf/ide/gutter/PbNavigationUtilsKt	protoeditor.jar
com/intellij/protobuf/ide/gutter/PbCodeImplementationLineMarkerProvider	protoeditor.jar
com/intellij/protobuf/ide/gutter/PbLanguageSpecificLineMarkerProvider	protoeditor.jar
com/intellij/protobuf/ide/highlighter/PbHighlightingAnnotator	protoeditor.jar
com/intellij/protobuf/ide/highlighter/PbHighlightingAnnotator$1	protoeditor.jar
com/intellij/protobuf/lang/annotation/PbAnnotator	protoeditor.jar
com/intellij/protobuf/lang/psi/PbSymbol	protoeditor.jar
com/intellij/protobuf/lang/psi/ProtoSymbolPath	protoeditor.jar
com/goide/vgo/mod/psi/VgoModuleDirective	go-plugin.jar
com/goide/refactor/rename/GoRenameHandler	go-plugin.jar
com/goide/refactor/rename/GoRenameHandler$1	go-plugin.jar
com/goide/refactor/suggested/GoSuggestedRefactoringSupport	go-plugin.jar
com/goide/psi/impl/GoPackage$GoPomTargetPsiElement	go-plugin.jar
com/goide/psi/impl/generics/instantiated/GoInstantiatedNamedElement	go-plugin.jar
com/goide/psi/GoNamedElement	go-plugin.jar
com/intellij/docker/dockerFile/parser/psi/DockerPsiDeclaration	clouds-docker-impl.jar
com/intellij/ide/bookmarks/BookmarkManager	app.jar
